subject_id,story,social_interaction,asymmetric,symmetric,no_relationship,understood,pass_attention
1be883cc5b34d9c7a6f55b06acf1e62c,fundraising,no_interaction,0,6,0,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,gifts,precedent,6,0,0,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,conversation,precedent,6,0,0,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,restaurant,no_interaction,0,6,6,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,weekend,no_interaction,0,6,6,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,babysitting,no_interaction,0,6,6,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,family meals,precedent,0,6,0,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,coffee,precedent,6,0,0,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,meeting prep,reciprocity,0,6,0,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,group project,reciprocity,0,6,0,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,architects,no_interaction,0,6,6,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,meeting location,reciprocity,0,6,0,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,scheduling,no_interaction,0,6,6,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,groceries,reciprocity,0,6,0,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,housemates,precedent,6,0,0,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,concerts,reciprocity,0,6,0,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,police,precedent,0,6,0,yes,TRUE
1be883cc5b34d9c7a6f55b06acf1e62c,feedback,reciprocity,0,6,0,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,housemates,no_interaction,2,4,4,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,family meals,precedent,5,4,1,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,weekend,reciprocity,2,6,0,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,meeting location,reciprocity,2,6,0,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,gifts,reciprocity,1,5,2,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,coffee,precedent,5,2,1,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,group project,no_interaction,1,1,6,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,scheduling,no_interaction,0,0,6,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,architects,precedent,5,2,1,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,fundraising,no_interaction,1,2,5,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,conversation,no_interaction,2,4,4,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,police,precedent,4,5,1,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,restaurant,reciprocity,1,6,0,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,feedback,precedent,5,2,2,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,meeting prep,reciprocity,2,5,2,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,groceries,reciprocity,1,5,2,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,babysitting,precedent,5,2,1,yes,TRUE
850b781d0f6eeb84a6108569a2b4cf5a,concerts,no_interaction,1,2,6,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,concerts,reciprocity,0,6,1,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,police,reciprocity,1,6,0,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,meeting prep,no_interaction,2,3,4,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,fundraising,precedent,5,1,1,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,feedback,reciprocity,1,5,0,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,groceries,no_interaction,1,3,3,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,meeting location,reciprocity,1,5,0,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,scheduling,no_interaction,3,3,4,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,family meals,reciprocity,1,5,0,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,gifts,precedent,5,1,0,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,coffee,precedent,4,2,0,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,conversation,precedent,5,1,0,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,housemates,precedent,6,0,0,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,group project,no_interaction,2,3,3,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,weekend,no_interaction,3,3,4,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,restaurant,no_interaction,3,3,4,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,babysitting,precedent,4,2,0,yes,TRUE
2bba51f598bf1087f5e74d21f051df46,architects,reciprocity,1,5,0,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,feedback,reciprocity,0,6,1,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,weekend,no_interaction,5,1,5,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,babysitting,reciprocity,0,6,0,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,meeting prep,no_interaction,0,6,5,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,concerts,precedent,4,1,1,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,housemates,precedent,2,4,1,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,fundraising,precedent,4,2,1,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,group project,precedent,6,0,1,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,architects,reciprocity,0,6,1,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,meeting location,no_interaction,NA,5,5,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,gifts,no_interaction,0,6,6,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,restaurant,no_interaction,0,6,6,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,family meals,reciprocity,0,6,0,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,police,reciprocity,0,6,1,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,coffee,no_interaction,0,5,5,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,scheduling,precedent,5,1,1,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,conversation,reciprocity,0,6,0,yes,TRUE
c9bfabff0d8fa38070537141b29ff789,groceries,precedent,3,3,1,yes,TRUE
3ce9276d913e6a149812483b81cff182,conversation,no_interaction,1,5,4,yes,TRUE
3ce9276d913e6a149812483b81cff182,housemates,precedent,5,1,1,yes,TRUE
3ce9276d913e6a149812483b81cff182,restaurant,reciprocity,0,6,5,yes,TRUE
3ce9276d913e6a149812483b81cff182,concerts,precedent,5,1,2,yes,TRUE
3ce9276d913e6a149812483b81cff182,police,precedent,2,4,4,yes,TRUE
3ce9276d913e6a149812483b81cff182,meeting prep,reciprocity,1,5,1,yes,TRUE
3ce9276d913e6a149812483b81cff182,family meals,precedent,4,1,5,yes,TRUE
3ce9276d913e6a149812483b81cff182,architects,precedent,6,1,5,yes,TRUE
3ce9276d913e6a149812483b81cff182,coffee,no_interaction,0,6,6,yes,TRUE
3ce9276d913e6a149812483b81cff182,feedback,reciprocity,2,5,2,yes,TRUE
3ce9276d913e6a149812483b81cff182,fundraising,no_interaction,0,6,5,yes,TRUE
3ce9276d913e6a149812483b81cff182,babysitting,no_interaction,0,6,6,yes,TRUE
3ce9276d913e6a149812483b81cff182,scheduling,no_interaction,0,5,6,yes,TRUE
3ce9276d913e6a149812483b81cff182,weekend,no_interaction,4,1,2,yes,TRUE
3ce9276d913e6a149812483b81cff182,gifts,precedent,0,6,6,yes,TRUE
3ce9276d913e6a149812483b81cff182,group project,reciprocity,0,6,6,yes,TRUE
3ce9276d913e6a149812483b81cff182,groceries,reciprocity,1,5,5,yes,TRUE
3ce9276d913e6a149812483b81cff182,meeting location,reciprocity,1,6,5,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,family meals,no_interaction,6,0,1,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,feedback,precedent,5,1,1,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,group project,precedent,6,1,0,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,meeting prep,reciprocity,1,6,1,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,meeting location,precedent,2,4,1,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,coffee,no_interaction,1,1,6,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,police,precedent,5,1,1,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,conversation,no_interaction,2,4,1,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,concerts,precedent,5,1,0,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,weekend,reciprocity,1,5,1,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,groceries,reciprocity,1,5,1,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,housemates,no_interaction,0,0,6,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,gifts,no_interaction,NA,6,0,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,babysitting,reciprocity,0,6,0,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,scheduling,reciprocity,1,5,1,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,restaurant,reciprocity,2,4,1,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,fundraising,no_interaction,1,1,5,yes,TRUE
6c31878e71d7d119fafc7c6b87f6db45,architects,precedent,6,0,0,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,police,no_interaction,4,2,2,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,concerts,no_interaction,3,3,1,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,restaurant,precedent,5,1,0,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,coffee,reciprocity,1,5,0,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,conversation,reciprocity,2,4,0,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,groceries,precedent,5,1,1,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,meeting prep,precedent,4,2,3,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,scheduling,reciprocity,2,5,0,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,housemates,no_interaction,1,4,2,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,feedback,no_interaction,1,3,4,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,architects,no_interaction,1,3,5,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,group project,precedent,6,1,0,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,gifts,reciprocity,1,5,0,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,fundraising,reciprocity,1,5,0,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,weekend,precedent,4,2,0,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,family meals,no_interaction,3,4,0,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,meeting location,precedent,5,1,0,yes,TRUE
667e29c125cb666d3759f6d60e0b7de2,babysitting,reciprocity,1,5,0,yes,TRUE
66a3839fa40137fba0cfd575fd641474,fundraising,no_interaction,1,4,3,yes,TRUE
66a3839fa40137fba0cfd575fd641474,groceries,reciprocity,1,5,1,yes,TRUE
66a3839fa40137fba0cfd575fd641474,police,precedent,0,6,0,yes,TRUE
66a3839fa40137fba0cfd575fd641474,group project,reciprocity,1,5,1,yes,TRUE
66a3839fa40137fba0cfd575fd641474,meeting prep,reciprocity,1,5,0,yes,TRUE
66a3839fa40137fba0cfd575fd641474,coffee,no_interaction,1,3,3,yes,TRUE
